"","fiscalyear","aea","dist","de_district","district_name","amount","revenues_per_pupil"
"75",2017,7,1116,1116,"Charles City",38465838,25116
"76",2017,7,1215,1215,"Clarksville",6112584,17877
"77",2017,7,1233,1233,"Clear Lake",26745942,21884
"78",2017,7,1719,1719,"Denver",23829781,33186
"79",2017,7,1791,1791,"Dike-New Hartford",19317086,21467
"80",2017,7,1908,1908,"Dunkerton",10764812,24179
"81",2017,7,1935,6536,"Union",20379543,18090
"82",2017,7,1963,1963,"East Buchanan",23249862,43245
"83",2017,7,2007,2007,"Eldora-New Providence",15472388,24671
"84",2017,7,2295,2295,"Forest City",26254999,24052
"85",2017,7,2403,2403,"Garner-Hayfield-Ventura",23486082,26073
"86",2017,7,2502,2502,"Gladbrook-Reinbeck",11602399,19764
"87",2017,7,2682,2682,"GMG",9938057,33214
"88",2017,7,2709,2709,"Grinnell-Newburg",33802087,21088
"89",2017,7,2727,2727,"Grundy Center",15262469,24055
"90",2017,7,2781,2781,"Hampton-Dumont",23421576,19351
"91",2017,7,3033,3033,"Hubbard-Radcliffe",10337163,23114
"92",2017,7,3042,3042,"Hudson",13991605,20597
"93",2017,7,3105,3105,"Independence",28363487,19827
"94",2017,7,3150,3150,"Iowa Falls",22059661,20298
"95",2017,7,3186,3186,"Janesville Consolidated",8925294,23733
"96",2017,7,3204,3204,"Jesup",15986395,18076
"97",2017,7,3420,3420,"Lake Mills",12524026,20144
"98",2017,7,3582,1968,"East Marshall",16491366,28952
"99",2017,7,4104,4104,"Marshalltown",90117435,16935
"100",2017,7,4131,4131,"Mason City",87562034,23421
"101",2017,7,4437,4437,"Montezuma",10766926,20895
"102",2017,7,4599,4599,"Nashua-Plainfield",12684927,20130
"103",2017,7,4772,4772,"Central Springs",16524423,20373
"104",2017,7,4785,4785,"North Tama County",12596858,27789
"105",2017,7,4788,4788,"Northwood-Kensett",10414566,20704
"106",2017,7,4995,4995,"Osage",19157607,20059
"107",2017,7,5697,5697,"Rudd-Rockford-Marble Rk",8855143,19671
"108",2017,7,5751,5751,"St Ansgar",16786512,27588
"109",2017,7,5922,5922,"West Fork",13930335,20601
"110",2017,7,6098,6098,"South Tama County",32246455,20884
"111",2017,7,6273,6273,"Sumner-Fredericksburg",17715231,21277
"112",2017,7,6471,6471,"Tripoli",8027784,17760
"113",2017,7,6762,6762,"Wapsie Valley",18599726,26966
"114",2017,7,6795,6795,"Waterloo",245281480,22429
"115",2017,7,6840,6840,"Waverly-Shell Rock",43547941,21817
"116",2017,7,6985,6985,"West Marshall",17875198,20558
"117",2017,9,243,243,"Andrew",6073833,24171
"118",2017,9,585,585,"Bellevue",12120087,21599
"119",2017,9,603,603,"Bennett",3555259,18983
"120",2017,9,621,621,"Bettendorf",81826109,20166
"121",2017,9,918,918,"Calamus-Wheatland",8774243,18315
"122",2017,9,936,936,"Camanche",22683210,25859
"123",2017,9,1082,1082,"Central DeWitt",29553992,20371
"124",2017,9,1278,1278,"Clinton",101600413,26413
"125",2017,9,1368,1368,"Columbus",17258330,21102
"126",2017,9,1611,1611,"Davenport",275496656,17434
"127",2017,9,1675,1675,"Delwood",5195504,27460
"128",2017,9,1926,1926,"Durant",11687053,20443
"129",2017,9,1965,1965,"Easton Valley",14401193,23190
"130",2017,9,3841,3841,"Louisa-Muscatine",18621396,25279
"131",2017,9,4041,4041,"Maquoketa",28154003,20907
"132",2017,9,4581,4581,"Muscatine",88774766,17168
"133",2017,9,4773,4773,"Northeast",15425781,27940
"134",2017,9,4784,4784,"North Scott",63505696,20636
"135",2017,9,5250,5250,"Pleasant Valley",87015609,19198
"136",2017,9,6975,6975,"West Liberty",23783338,18871
"137",2017,9,7038,7038,"Wilton",18782771,23503
"138",2017,10,99,99,"Alburnett",13550124,26242
"139",2017,10,234,234,"Anamosa",31234681,25326
"140",2017,10,576,576,"Belle Plaine",14125111,25858
"141",2017,10,609,609,"Benton",29704499,20030
"142",2017,10,1053,1053,"Cedar Rapids",330723130,19527
"143",2017,10,1062,1062,"Center Point-Urbana",32233723,23698
"144",2017,10,1089,1089,"Central City",9017684,18866
"145",2017,10,1221,1221,"Clear Creek Amana",51963857,27417
"146",2017,10,1337,1337,"College",128494488,25970
"147",2017,10,2097,2097,"English Valleys",9012252,19842
