Name,Classification,Status,PhysicalStreetAddress,PhysicalUnitAddress,PhysicalAddressCity,PhysicalAddressZipCode
SUPER TARGET T1767,Bakery:Supermarket/Grocery Store Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store,Active,2135 SE DELAWARE AVE ,,ANKENY,50021
WALMART #1787,Bakery:Supermarket/Grocery Store Produce:Supermarket/Grocery Store Deli:Supermarket/Grocery Store,Active,2014 KITTYHAWK AVE ,,CARROLL,51401
BROTHER'S MARKET,Bakery:Supermarket/Grocery Store Produce:Supermarket/Grocery Store Discount Grocery:General Deli:Supermarket/Grocery Store Meat:Supermarket/Grocery Store ,Active,1400 G AVE ,,GRUNDY CENTER,50638
HY-VEE #1247,Bakery:Supermarket/Grocery Store Produce:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Deli:Supermarket/Grocery Store Full Service:Restaurant without liquor,Active,611 10TH AVE ,,HUMBOLDT,50548
WALMART  #2935,Bakery:Supermarket/Grocery Store Produce:Supermarket/Grocery Store Produce:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Full Service:Cafeteria,Active,814 W BELL AVE ,,KNOXVILLE,50138
HYVEE FOOD STORE,Bakery:Supermarket/Grocery Store Produce:Supermarket/Grocery Store Seafood:Supermarket/Grocery Store Meat:Supermarket/Grocery Store  Deli:Supermarket/Grocery Store,Active,2900 DEVILS GLEN RD ,,BETTENDORF,52722
SCHMUCKER'S BULK FOOD,Bakery:Supermarket/Grocery Store Produce:Supermarket/Grocery Store Variety Store Deli:Supermarket/Grocery Store Discount Grocery:Salvage,Active,54359 STATE HWY 14 ,,Chariton,50049
WINE STYLES TASTING STATION ANKENY,Bar:Taverns with food prep ,Active,1450 Vintage PKWY ,STE 170 ,Ankeny,50023
WINESTYLES,Bar:Taverns with food prep ,Active,8460 BIRCHWOOD CT ,STE 500 ,JOHNSTON,50131
ALLUVIAL BREWING COMPANY,Bar:Taverns without food prep,Active,3715 W 190th ST ,,Ames,50014
ANNELISE WINERY,Bar:Taverns without food prep,Active,15110 Hwy 92 ,,Indianola,50125
MUSIC STATION #2,Bar:Taverns without food prep,Active,709 W 1ST ST ,,INDEPENDENCE,50644
TAMA BALLROOM,Bar:Taverns without food prep,Active,1411 E 5TH ,,Toledo,52342
"WIJN HOUSE, THE",Bar:Taverns without food prep,Active,615 Franklin ST ,,Pella,50219
ADDIE MAY INC.,Candy Store,Active,21964 Hawk Drive ,,Keosauqua,52565
AUNT B'S,Candy Store,Active,410 CHESTNUT ,,ATLANTIC,50022
BASS PRO SHOPS OUTDOOR WORLD & UNCLE BUCKS BAR & GRILL,Candy Store,Active,1000 BASSPRO DR NW ,,ALTOONA,50009
BEAVERDALE CONFECTIONS,Candy Store,Active,2641 BEAVER AVE ,,DES MOINES,50310
BETTY JANE CANDIES,Candy Store,Active,1468 Twixt Town RD ,,Marion,52302
BETTY JANE CANDIES,Candy Store,Active,3500 DODGE ST ,,DUBUQUE,52003
BETTY JANE'S HOMEMADE CANDIES,Candy Store,Active,3049 ASBURY RD ,,DUBUQUE,52001
BLAIN'S FARM & FLEET,Candy Store,Active,219 BRANDILYNN BLVD ,,CEDAR FALLS,50613
CANDIES & MORE,Candy Store,Active,819 CENTRAL AVE ,,FORT DODGE,50501
"CANDY CLUBHOUSE, THE",Candy Store,Active,1551 VALLEY WEST DR ,178,WEST DES MOINES,50266
CAROLYN'S HALLMARK SHOP,Candy Store,Active,217 S 25th ST ,#C24 ,Fort Dodge,50501
CHOCOLATE MANOR,Candy Store,Active,110 E 2ND ST ,,DAVENPORT,52801
"CHOCOLATE SHOP, THE",Candy Store,Active,1244 7TH AVE ,,MARION,52302
